Chambre,Liste,Score,Sièges,Nb voix
Morbihan,FNSEA-JA,49.22,14.0,1429.0
Morbihan,Confédération paysanne,25.9,2.0,752.0
Morbihan,Coordination rurale,24.87,2.0,722.0
Vendée,FNSEA-JA,57.17,14.0,1854.0
Vendée,Coordination rurale,27.47,3.0,891.0
Vendée,Confédération paysanne,15.36,1.0,498.0
Aude,FNSEA-JA,56.03,14.0,1221.0
Aude,Confédération paysanne,24.6,2.0,536.0
Aude,Coordination rurale,19.37,2.0,422.0
Vaucluse,FNSEA-JA,61.29,14.0,1129.0
Vaucluse,Confédération paysanne,18.08,2.0,333.0
Vaucluse,Modef,14.06,1.0,259.0
Vaucluse,Coordination rurale,6.57,1.0,121.0
Haute-Marne,FNSEA-JA,64.86,15.0,814.0
Haute-Marne,Confédération paysanne,20.24,2.0,254.0
Haute-Marne,Coordination rurale,14.9,1.0,187.0
Marne,FNSEA-JA,79.01,16.0,2932.0
Marne,Coordination rurale,13.77,1.0,511.0
Marne,Confédération paysanne,7.22,1.0,268.0
Nord,FNSEA-JA,66.89,15.0,2085.0
Nord,Coordination rurale,20.56,2.0,641.0
Nord,Confédération paysanne,12.54,1.0,391.0
Hautes-Pyrénées,FNSEA-JA,57.03,14.0,986.0
Hautes-Pyrénées,Coordination rurale,29.55,3.0,511.0
Hautes-Pyrénées,Confédération paysanne,13.42,1.0,232.0
Indre,FNSEA-JA,55.08,14.0,922.0
Indre,Coordination rurale,24.85,2.0,416.0
Indre,Confédération paysanne,20.07,2.0,336.0
Vienne,Coordination rurale,40.71,13.0,734.0
Vienne,FNSEA-JA,38.16,3.0,688.0
Vienne,Confédération paysanne,21.13,2.0,381.0
Dordogne,FNSEA-JA,47.27,13.0,1283.0
Dordogne,Coordination rurale,29.07,3.0,789.0
Dordogne,Confédération paysanne,23.66,2.0,642.0
Charente-Maritime,FNSEA-JA,47.06,13.0,922.0
Charente-Maritime,Coordination rurale,29.1,3.0,570.0
Charente-Maritime,Confédération paysanne,15.93,1.0,312.0
Charente-Maritime,Modef,7.91,1.0,155.0
Alpes-Maritimes,FNSEA-JA,71.85,15.0,508.0
Alpes-Maritimes,Confédération paysanne,28.15,3.0,199.0
Var,FNSEA,32.74,12.0,534.0
Var,JA,26.79,2.0,437.0
Var,Confédération paysanne,24.22,2.0,395.0
Var,Coordination rurale,16.25,2.0,265.0
Alpes-de-Haute-Provence,FNSEA-JA,63.69,15.0,770.0
Alpes-de-Haute-Provence,Confédération paysanne,36.31,3.0,439.0
Ain,FNSEA-JA,52.04,14.0,791.0
Ain,Confédération paysanne,33.29,3.0,506.0
Ain,Coordination rurale,14.67,1.0,223.0
Aisne,FNSEA-JA,72.68,15.0,1881.0
Aisne,Coordination rurale,18.32,2.0,474.0
Aisne,Confédération paysanne,9.0,1.0,233.0
Bouches-du-Rhône,FNSEA-JA,63.14,15.0,817.0
Bouches-du-Rhône,Confédération paysanne,22.57,2.0,292.0
Bouches-du-Rhône,Coordination rurale,14.3,1.0,185.0
Aveyron,FNSEA-JA,56.19,14.0,2761.0
Aveyron,Confédération paysanne,25.54,2.0,1255.0
