Chambre,Liste,Score,Sièges,Nb voix
Indre-et-Loire,Confédération Paysanne,21.8,2.0,330.0
Isère,FNSEA-JA,38.7,12.0,767.0
Isère,Confédération Paysanne,32.95,3.0,653.0
Isère,Coordination Rurale,28.36,3.0,562.0
Jura,FNSEA-JA,51.3,14.0,649.0
Jura,Confédération Paysanne,27.04,2.0,342.0
Jura,Coordination Rurale,21.66,2.0,274.0
Haute-Saône,FNSEA-JA,57.22,14.0,785.0
Haute-Saône,Coordination Rurale,25.87,2.0,355.0
Haute-Saône,Confédération Paysanne,16.91,2.0,232.0
Loire,FNSEA-JA,54.78,14.0,1232.0
Loire,Confédération Paysanne,23.39,2.0,526.0
Loire,Coordination Rurale,21.83,2.0,491.0
Tarn-et-Garonne,FNSEA-JA,48.66,14.0,907.0
Tarn-et-Garonne,Coordination Rurale,37.5,3.0,699.0
Tarn-et-Garonne,Confédération Paysanne,13.84,1.0,258.0
Lot,FNSEA-JA,47.99,13.0,931.0
Lot,Coordination Rurale,32.22,3.0,625.0
Lot,Confédération Paysanne,19.79,2.0,384.0
Lot-et-Garonne,Coordination Rurale,69.85,15.0,1749.0
Lot-et-Garonne,FNSEA-JA,15.1,2.0,378.0
Lot-et-Garonne,Confédération Paysanne,12.46,1.0,312.0
Lot-et-Garonne,Modef,2.6,0.0,65.0
Lozère,Coordination Rurale,40.85,13.0,790.0
Lozère,FNSEA-JA,40.23,4.0,778.0
Lozère,Confédération Paysanne,14.43,1.0,279.0
Lozère,Modef,4.5,0.0,87.0
Ille-et-Vilaine,FNSEA-JA,45.37,13.0,1542.0
Ille-et-Vilaine,Coordination Rurale,29.74,3.0,1011.0
Ille-et-Vilaine,Confédération Paysanne,24.89,2.0,846.0
Meurthe-et-Moselle,FNSEA-JA,55.59,14.0,731.0
Meurthe-et-Moselle,Coordination Rurale,26.24,2.0,345.0
Meurthe-et-Moselle,Confédération Paysanne,18.17,2.0,239.0
Meuse,FNSEA-JA,44.71,13.0,604.0
Meuse,Coordination Rurale,39.38,4.0,532.0
Meuse,Confédération Paysanne,15.91,1.0,215.0
Nièvre,FNSEA-JA,50.96,14.0,611.0
Nièvre,Coordination Rurale,28.44,2.0,341.0
Nièvre,Confédération Paysanne,20.6,2.0,247.0
Corrèze,FNSEA-JA,42.05,13.0,894.0
Corrèze,Coordination Rurale,35.47,3.0,754.0
Corrèze,Confédération Paysanne,15.38,1.0,327.0
Corrèze,Modef,7.1,1.0,151.0
Puy-de-Dôme,FNSEA-JA,51.41,14.0,1401.0
Puy-de-Dôme,Coordination Rurale,23.52,2.0,641.0
Puy-de-Dôme,Confédération Paysanne,20.26,2.0,552.0
Puy-de-Dôme,Modef,4.81,0.0,131.0
Gers,Coordination Rurale,50.86,14.0,1540.0
Gers,FNSEA-JA,32.99,3.0,999.0
Gers,Confédération Paysanne,12.71,1.0,385.0
Gers,Modef,3.43,0.0,104.0
Pyrénées-Atlantiques,FNSEA-JA,45.78,13.0,2269.0
Pyrénées-Atlantiques,Euskal Herriko Laborarien Batasuna,22.07,2.0,1094.0
Pyrénées-Atlantiques,Coordination Rurale,21.43,2.0,1062.0
Pyrénées-Atlantiques,Confédération Paysanne,10.71,1.0,531.0
Savoie,FNSEA-JA,49.27,20.0,1211.0
Savoie,Coordination Rurale,25.51,4.0,627.0
Savoie,Confédération Paysanne,25.22,3.0,620.0
Somme,FNSEA-JA,61.67,14.0,1614.0
Somme,Coordination Rurale,31.26,3.0,818.0
Somme,Confédération Paysanne,7.07,1.0,185.0
Territoire de Belfort,FNSEA-JA,67.83,5.0,78.0
Territoire de Belfort,Coordination Rurale,32.17,1.0,37.0
Doubs,FNSEA-JA,61.33,15.0,1137.0
Doubs,Coordination Rurale,24.22,2.0,449.0
Doubs,Confédération Paysanne,14.46,1.0,268.0
Vosges,FNSEA-JA,53.3,14.0,734.0
Vosges,Coordination Rurale,27.67,2.0,381.0
Vosges,Confédération Paysanne,19.03,2.0,262.0
Loir-et-Cher,Coordination Rurale,42.91,13.0,530.0
Loir-et-Cher,FNSEA-JA,41.54,4.0,513.0
Loir-et-Cher,Confédération Paysanne,15.55,1.0,192.0
Finistère,FNSEA-JA,45.29,13.0,1581.0
Finistère,Coordination Rurale,33.66,3.0,1175.0
Finistère,Confédération Paysanne,21.05,2.0,735.0
Manche,FNSEA-JA,48.76,13.0,1312.0
Manche,Coordination Rurale,29.88,3.0,804.0
Manche,Confédération Paysanne,21.37,2.0,575.0
Ardennes,Coordination Rurale,48.97,13.0,740.0
Ardennes,FNSEA-JA,41.43,4.0,626.0
Ardennes,Confédération Paysanne,9.6,1.0,145.0
Ariège,Libre de cultiver notre avenir,39.65,13.0,680.0
Ariège,Confédération Paysanne,35.04,3.0,601.0
Ariège,FNSEA-JA,25.31,2.0,434.0
Bas-Rhin,FNSEA-JA,69.16,15.0,1592.0
Bas-Rhin,Coordination Rurale,18.03,2.0,415.0
Bas-Rhin,Confédération Paysanne,12.81,1.0,295.0
Calvados,FNSEA-JA,45.13,13.0,862.0
Calvados,Coordination Rurale,36.02,3.0,688.0
Calvados,Confédération Paysanne,18.85,2.0,360.0
Cantal,FNSEA-JA,52.08,14.0,1525.0
Cantal,Coordination Rurale,30.77,3.0,901.0
Cantal,Confédération Paysanne,12.7,1.0,372.0
Cantal,Syndicats des mécontents du système agricole,4.44,0.0,130.0
Côtes-d’Armor,FNSEA-JA,41.59,13.0,1401.0
Côtes-d’Armor,Coordination Rurale,33.27,3.0,1121.0
Côtes-d’Armor,Confédération Paysanne,25.14,2.0,847.0
Gironde,Coordination Rurale,36.75,12.0,799.0
Gironde,FNSEA-JA,36.48,3.0,793.0
Gironde,Confédération Paysanne,26.77,3.0,582.0
Haut-Rhin,FNSEA-JA,61.02,14.0,905.0
Haut-Rhin,Coordination Rurale,20.23,2.0,300.0
Haut-Rhin,Confédération Paysanne,18.75,2.0,278.0
Haute-Savoie,FNSEA-JA,49.27,20.0,1211.0
Haute-Savoie,Coordination Rurale,25.51,4.0,627.0
Haute-Savoie,Confédération Paysanne,25.22,3.0,620.0
Hérault,FNSEA-JA,49.3,13.0,1224.0
Hérault,Coordination Rurale,30.45,3.0,756.0
Hérault,Confédération Paysanne,17.36,2.0,431.0
Hérault,Modef,2.9,0.0,72.0
Landes,FNSEA-JA,46.36,13.0,829.0
Landes,Coordination Rurale,28.13,3.0,503.0
Landes,Union Confédération paysanne - Modef,25.5,2.0,456.0
Loire-Atlantique,FNSEA-JA,42.9,13.0,1558.0
Loire-Atlantique,Confédération Paysanne,37.31,3.0,1355.0
Loire-Atlantique,Coordination Rurale,19.8,2.0,719.0
Moselle,Territoires et filières,38.1,12.0,730.0
Moselle,FNSEA-JA,34.29,3.0,657.0
Moselle,Coordination Rurale,19.52,2.0,374.0
Moselle,Confédération Paysanne,8.09,1.0,155.0
Orne,FNSEA-JA,42.31,13.0,801.0
Orne,Coordination Rurale,32.33,3.0,612.0
Orne,Confédération Paysanne,25.36,2.0,480.0
Pas-de-Calais,FNSEA-JA,52.36,14.0,1833.0
Pas-de-Calais,Coordination Rurale,38.82,3.0,1359.0
Pas-de-Calais,Confédération Paysanne,8.83,1.0,309.0
Pyrénées-Orientales,FNSEA-JA,43.94,13.0,551.0
Pyrénées-Orientales,Confédération Paysanne,34.61,3.0,434.0
Pyrénées-Orientales,Coordination Rurale,21.45,2.0,269.0
Mayenne,FNSEA-JA,47.44,13.0,1131.0
Mayenne,Confédération Paysanne,27.27,3.0,650.0
Mayenne,Coordination Rurale,25.29,2.0,603.0
Seine-Maritime,FNSEA-JA,52.04,14.0,1172.0
Seine-Maritime,Coordination Rurale,30.73,3.0,692.0
Seine-Maritime,Confédération Paysanne,17.23,1.0,388.0
Yonne,FNSEA-JA,49.31,14.0,748.0
Yonne,Coordination Rurale,34.74,3.0,527.0
Yonne,Confédération Paysanne,15.95,1.0,242.0
Allier,FNSEA-JA,40.73,13.0,837.0
