company_short,end_date,sample,abstention,undecided,alain_juppe,arnaud_montebourg,benoît_hamon,bruno_le_maire,cécile_duflot,emmanuel_macron,françois_asselineau,françois_bayrou,françois_fillon,françois_hollande,jacques_cheminade,jean_lassalle,jean-luc_mélenchon,manuel_valls,marine_le_pen,nathalie_arthaud,nicolas_dupont-aignan,nicolas_hulot,nicolas_sarkozy,philippe_poutou,sylvia_pinel,vincent_peillon,yannick_jadot,others,company_long
BVA,2016-10-19,916,,,,,,,0.03,,,0.14,,0.13,,,0.14,,0.275,0.01,0.04,,0.22,0.015,,,,,BVA
BVA,2016-10-19,916,,,0.33,,,,0.02,0.11,,,,0.09,,,0.12,,0.26,0.01,0.04,,,0.02,,,,,BVA
BVA,2016-10-19,916,,,,,,,0.025,0.14,,0.1,,0.095,,,0.12,,0.25,0.01,0.04,,0.2,0.02,,,,,BVA
BVA,2016-10-19,916,,,0.39,0.09,,,0.02,,,,,,,,0.13,,0.29,0.01,0.05,,,0.02,,,,,BVA
BVA,2016-10-19,916,,,,0.1,,,0.03,,,0.15,,,,,0.15,,0.28,0.01,0.05,,0.22,0.01,,,,,BVA
Elabe,2016-09-21,922,,,,,,,,,,,,,,,,,,,,,,,,,,,Elabe
Elabe,2016-09-21,922,,,0.34,,,,0.03,,,,,0.15,,,0.15,,0.28,0.01,0.03,,,0.01,,,,,Elabe
Elabe,2016-09-21,922,,,,,,,0.03,,,0.12,,0.16,,,0.14,,0.27,0.01,0.03,,0.23,0.01,,,,,Elabe
Elabe,2016-09-21,922,,,0.26,,,,0.03,0.14,,,,0.12,,,0.13,,0.27,0.01,0.03,,,0.01,,,,,Elabe
Elabe,2016-09-21,922,,,,,,,0.025,0.15,,0.08,,0.125,,,0.15,,0.25,0.005,0.03,,0.18,0.005,,,,,Elabe
Elabe,2016-09-21,922,,,0.28,,,,0.025,0.14,,,,,,,0.14,0.09,0.27,0.01,0.035,,,0.01,,,,,Elabe
Elabe,2016-09-21,922,,,,,,,0.02,0.15,,0.1,,,,,0.15,0.09,0.26,0.01,0.03,,0.18,0.01,,,,,Elabe
Elabe,2016-09-21,922,,,0.295,0.07,,,0.02,0.16,,,,,,,0.14,,0.27,0.01,0.02,,,0.015,,,,,Elabe
Elabe,2016-09-21,922,,,,0.07,,,0.02,0.18,,0.09,,,,,0.14,,0.265,0.005,0.03,,0.19,0.01,,,,,Elabe
Ipsos,2016-09-18,18659,,,,,,,0.03,,,0.12,,0.13,0,,0.13,,0.29,0.015,0.05,,0.22,0.015,,,,,Cevipof Ipsos-Sopra Steria
Ipsos,2016-09-18,18659,,,0.34,,,,0.03,,,,,0.125,0,,0.125,,0.3,0.015,0.05,,,0.015,,,,,Cevipof Ipsos-Sopra Steria
Ipsos,2016-09-18,18659,,,,,,,0.025,0.14,,0.09,,0.1,0,,0.115,,0.27,0.015,0.05,,0.18,0.015,,,,,Cevipof Ipsos-Sopra Steria
Ipsos,2016-09-18,18659,,,0.28,,,,0.025,0.12,,,,0.1,0,,0.115,,0.28,0.015,0.05,,,0.015,,,,,Cevipof Ipsos-Sopra Steria
BVA,2016-09-11,912,,,0.36,,,,0.03,,,,,0.11,,,0.12,,0.3,0.01,0.06,,,0.01,,,,,BVA
BVA,2016-09-11,912,,,,,,,0.035,,,0.13,,0.13,,,0.125,,0.295,0.005,0.05,,0.22,0.01,,,,,BVA
BVA,2016-09-11,912,,,,,,0.16,0.035,,,0.125,,0.14,,,0.13,,0.32,0.01,0.07,,,0.01,,,,,BVA
BVA,2016-09-11,912,,,,,,,0.03,,,0.12,0.185,0.13,,,0.13,,0.33,0.01,0.055,,,0.01,,,,,BVA
BVA,2016-09-11,912,,,0.26,,,,0.03,0.165,,,,0.09,,,0.1,,0.28,0.01,0.06,,,0.005,,,,,BVA
BVA,2016-09-11,912,,,,,,,0.03,0.185,,0.07,,0.09,,,0.11,,0.255,0.01,0.05,,0.19,0.01,,,,,BVA
BVA,2016-09-11,912,,,0.38,0.09,,,0.02,,,,,,,,0.12,,0.3,0.005,0.07,,,0.015,,,,,BVA
BVA,2016-09-11,912,,,,0.09,,,0.025,,,0.14,,,,,0.135,,0.29,0.01,0.065,,0.24,0.005,,,,,BVA
Ifop,2016-09-07,1903,,,0.33,,,,0.03,,,,,0.14,0,,0.135,,0.29,0.01,0.05,,,0.015,,,,,Ifop
Ifop,2016-09-07,1903,,,,,,,0.03,,,0.13,,0.145,0,,0.14,,0.26,0.01,0.05,,0.22,0.015,,,,,Ifop
Ifop,2016-09-07,1903,,,,,,0.17,0.03,,,0.12,,0.155,0.005,,0.145,,0.3,0.01,0.05,,,0.015,,,,,Ifop
Ifop,2016-09-07,1903,,,0.26,0.035,,,0.025,0.14,,,,0.1,0.005,,0.11,,0.26,0.01,0.04,,,0.015,,,,,Ifop
Ifop,2016-09-07,1903,,,,0.04,,,0.025,0.15,,0.09,,0.1,0,,0.11,,0.24,0.01,0.04,,0.18,0.015,,,,,Ifop
Ifop,2016-09-07,1903,,,0.27,,,,0.025,0.15,,,,0.1,0.005,,0.125,,0.26,0.01,0.04,,,0.015,,,,,Ifop
Ifop,2016-09-07,1903,,,0.27,0.05,,,0.03,0.14,,,,,0.005,,0.115,0.07,0.26,0.01,0.04,,,0.01,,,,,Ifop
Ifop,2016-09-07,1903,,,0.27,,,,0.03,0.16,,,,,0.005,,0.135,0.08,0.26,0.01,0.04,,,0.01,,,,,Ifop
Kantar,2016-09-05,1006,,,,,,,0.02,0.16,,0.09,,0.11,0.005,,0.11,,0.26,0.01,0.03,,0.2,0.01,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,,,,,0.03,0.18,,,,0.12,0.005,,0.12,,0.27,0.01,0.04,,0.22,0.01,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,0.25,,,,0.03,0.15,,,,0.11,0.005,,0.115,,0.285,0.01,0.035,,,0.015,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,,,,,0.02,,,0.13,,0.13,0.005,,0.12,,0.27,0.01,0.05,,0.25,0.02,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,,,,,0.045,,,,,0.15,0.005,,0.13,,0.29,0.015,0.07,,0.27,0.025,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,0.33,,,,0.03,,,,,0.14,0.005,,0.12,,0.29,0.015,0.06,,,0.015,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,,0.05,,,0.03,0.18,,0.08,,,0.005,,0.1,,0.27,0.015,0.04,,0.22,0.01,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,,0.07,,,0.04,0.2,,,,,0.01,,0.11,,0.27,0.02,0.04,,0.22,0.02,,,,,TNS Sofres
Kantar,2016-09-05,1006,,,0.27,0.06,,,0.035,0.16,,,,,0.005,,0.11,,0.275,0.015,0.05,,,0.02,,,,,TNS Sofres
BVA,2016-07-10,936,,,0.36,,,,0.02,,,,,0.135,,,0.135,,0.28,0.01,0.045,,,0.015,,,,,BVA
BVA,2016-07-10,936,,,,,,,0.02,,,0.13,,0.13,,,0.13,,0.29,0.01,0.05,,0.23,0.01,,,,,BVA
Elabe,2016-06-21,926,,,,,,,,,,,,,,,,,,,,,,,,,,,Elabe
Elabe,2016-06-21,926,,,0.39,,,,0.03,,,,,0.14,,,0.11,,0.26,0.01,0.05,,,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,,,,,0.035,,,0.115,,0.15,,,0.12,,0.27,0.005,0.045,,0.25,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,,,,,,,,0.1,,0.14,,,0.1,,0.26,0.005,0.035,0.1,0.25,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,0.37,,,,,,,,,0.12,,,0.1,,0.26,0.01,0.04,0.09,,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,,,,,0.03,,,0.1,0.24,0.15,,,0.12,,0.29,0.01,0.05,,,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,,,,,,,,0.095,0.23,0.13,,,0.11,,0.27,0.01,0.045,0.1,,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,,,,0.22,0.035,,,0.12,,0.15,,,0.11,,0.3,0.005,0.05,,,0.01,,,,–,Elabe
Elabe,2016-06-21,926,,,,,,0.21,,,,0.1,,0.135,,,0.1,,0.28,0.01,0.04,0.1,,0.015,,,,–,Elabe
Ifop,2016-06-17,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,Ifop
Ifop,2016-06-17,1858,,,0.35,,,,0.025,,,,,0.14,,,0.125,,0.29,0.005,0.045,,,0.015,,,,–,Ifop
Ifop,2016-06-17,1858,,,,,,,0.02,,,0.125,,0.15,,,0.13,,0.28,0.01,0.045,,0.22,0.015,,,,–,Ifop
Ifop,2016-06-17,1858,,,,,,,0.025,,,0.12,0.18,0.15,,,0.145,,0.3,0.005,0.055,,,0.015,,,,–,Ifop
Ifop,2016-06-17,1858,,,,,,0.17,0.025,,,0.125,,0.16,,,0.14,,0.305,0.005,0.055,,,0.01,,,,–,Ifop
Ifop,2016-06-17,1858,,,0.34,0.045,,,0.02,,,,,0.14,,,0.115,,0.28,0.005,0.045,,,0.01,,,,–,Ifop
Ifop,2016-06-17,1858,,,0.34,,,,,,,,,0.13,,,0.125,,0.28,0.01,0.045,0.055,,0.01,,,,–,Ifop
Ifop,2016-06-17,1858,,,0.33,0.05,,,0.02,0.12,,,,,,,0.12,,0.285,0.01,0.045,,,0.01,,,,–,Ifop
Ifop,2016-06-17,1858,,,,0.045,,,0.01,,,0.11,,0.145,0,,0.12,,0.275,0.005,0.045,,0.21,0.01,,,,"Yade : 1 %
Guaino : 1 %

Asselineau : 0,5 %
Lassalle : 0,5 %",Ifop
Ifop,2016-06-17,1858,,,0.36,,,,,,,,,0.15,,,0.14,,0.28,0.01,0.05,,,,,,,–,Ifop
BVA,2016-06-12,910,,,0.36,,,,0.02,,,,,0.14,,,0.14,,0.26,0.015,0.05,,,0.015,,,,–,BVA
BVA,2016-06-12,910,,,,,,,0.03,,,0.13,,0.13,,,0.14,,0.28,0.02,0.05,,0.21,0.01,,,,–,BVA
BVA,2016-06-12,910,,,,,,,0.02,,,0.12,0.19,0.14,,,0.15,,0.29,0.015,0.06,,,0.015,,,,–,BVA
BVA,2016-06-12,910,,,,,,0.19,0.02,,,0.12,,0.15,,,0.15,,0.29,0.02,0.05,,,0.01,,,,–,BVA
Ipsos,2016-05-22,19455,,,,,,,0.03,,,0.13,,0.14,,,0.12,,0.28,0.015,0.06,,0.21,0.015,,,,,Cevipof Ipsos-Sopra Steria
Ipsos,2016-05-22,19455,,,0.35,,,,0.03,,,,,0.14,,,0.12,,0.28,0.015,0.05,,,0.015,,,,,Cevipof Ipsos-Sopra Steria
BVA,2016-05-16,927,,,0.38,,,,0.04,,,,,0.135,,,0.12,,0.25,0.005,0.055,,,0.015,,,,,BVA
BVA,2016-05-16,927,,,,,,,0.035,,,0.135,,0.15,,,0.12,,0.27,0.005,0.05,,0.22,0.015,,,,,BVA
BVA,2016-05-16,927,,,,,,,0.035,,,0.14,0.21,0.15,,,0.13,,0.27,0.005,0.045,,,0.015,,,,,BVA
BVA,2016-05-16,927,,,,,,0.17,0.035,,,0.16,,0.16,,,0.13,,0.27,0.005,0.05,,,0.02,,,,,BVA
