code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
DNK-K,Denmark,DNK,K,Chrétiens démocrates,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,nc,,,
DNK-DD,Denmark,DNK,DD,Démocrates danois,Danmarksdemokraterne,Denmark Democrats,NI,Non-inscrits,NI,Non-attached members,NI,NC,Unknown,NC,EXD,Far right,,,,Danmarksdemokraterne,,Danmarksdemokraterne,
DNK-EL,Denmark,DNK,EL,L’Alliance rouge-verte,Enhedslisten – De Rød-Grønne,Red-Green Alliance,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,,,,EXG,Far left,,,,Enhedslisten,,Enhedslisten – De Rød-Grønne,
DNK-ALT,Denmark,DNK,ALT,L’Alternative,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,ECO,Ecologist,AUT,Others,,nc,,,
DNK-D,Denmark,DNK,D,La nouvelle droite,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,,,,nc,,,
DNK-E,Denmark,DNK,E,Le parti de Klaus Riskær Pedersen,Klaus Riskær Pedersen,Klaus Riskær Pedersen’s Party,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,CEN,Center,DRO,Right,,,,,
DNK-RG,Denmark,DNK,RG,Liste de l’unité,,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,DSV,Right nationalist,,nc,,,
DNK-M,Denmark,DNK,M,Modérés,Moderaterne,Moderates,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,MODERATERNE,,Moderaterne,
DNK-N,Denmark,DNK,N,Mouvement des peuples contre l’UE,Folkebevægelsen mod EU,People's Movement against the EU,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,AUT,Others,,,,,,,
DNK-FM,Denmark,DNK,FM,Mouvement populaire contre l'Union européenne,Folkebevægelsen mod EU,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Folkebevægelsen mod EU,,,
DNK-V,Denmark,DNK,V,Parti libéral du Danemark,"Venstre, Danmarks Liberale Parti",,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,CEN,Center,,"Venstre, Danmarks Liberale Parti",,Venstre – Danmarks Liberale Parti,
DNK-C,Denmark,DNK,C,Parti populaire conservateur,Det Konservative Folkeparti,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Det Konservative Folkeparti,,Det Konservative Folkeparti,
DNK-O,Denmark,DNK,O,Parti populaire danois,Dansk Folkeparti,Danish People's Party,PPLE,Les Patriotes,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Dansk Folkeparti,,Dansk Folkeparti,
DNK-F,Denmark,DNK,F,Parti populaire socialiste,Socialistisk Folkeparti,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,GAU,Left,ECO,Ecologist,,Socialistisk Folkeparti,,SF – Socialistisk Folkeparti,
DNK-B,Denmark,DNK,B,Parti social-libéral danois,Det Radikale Venstre,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,Det Radikale Venstre,,Radikale Venstre,
DNK-A,Denmark,DNK,A,Sociaux-démocrates,Socialdemokratiet,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Socialdemokratiet,,Socialdemokratiet,
EST-IND,Estonia,EST,IND,[Parti inconnu],Sõltumatu,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,NC,Unknown,,,,Sõltumatu,,,
EST-E200,Estonia,EST,E200,Estonie 200,Eesti 200,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,CEN,Center,,,,Eesti Konservatiivne Rahvaerakond,,Eesti Konservatiivne Rahvaerakond,
EST-KESK,Estonia,EST,KESK,Parti du Centre,Eesti Keskerakond,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,,,,Eesti Keskerakond,,Eesti Keskerakond,
EST-EVA,Estonia,EST,EVA,Parti libre estonien,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,,,,nc,,,
EST-EKRE,Estonia,EST,EKRE,Parti populaire conservateur,,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,nc,,,
EST-REF,Estonia,EST,REF,Parti réformateur,Eesti Reformierakond,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,CEN,Center,,Eesti Reformierakond,,Eesti Reformierakond,
EST-SDE,Estonia,EST,SDE,Parti social-démocrate,Sotsiaaldemokraatlik Erakond,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Sotsiaaldemokraatlik Erakond,,Sotsiaaldemokraatlik Erakond,
EST-IRL,Estonia,EST,IRL,Union Pro Patria et Res Publica,Isamaa,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Isamaa,,Isamaa,
EST-GREEN,Estonia,EST,GREEN,Verts estoniens,,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,nc,,,
FIN-VAS,Finland,FIN,VAS,Alliance de gauche,Vasemmistoliitto,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Vasemmistoliitto,,Vasemmistoliitto,
FIN-KD,Finland,FIN,KD,Chrétiens démocrates,Kristillisdemokraatit,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Kristillisdemokraatit,,,
FIN-SIN,Finland,FIN,SIN,La réforme bleue,,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,LIB,Liberal,,nc,,,
FIN-VIHR,Finland,FIN,VIHR,Ligue verte,Vihreä liitto,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,GAU,Left,,Vihreä liitto,,Vihreä Liitto,
FIN-KOK,Finland,FIN,KOK,Parti de la coalition nationale,Kansallinen Kokoomus,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Kansallinen Kokoomus,,Kansallinen Kokoomus,
FIN-KESK,Finland,FIN,KESK,Parti du Centre,Suomen Keskusta,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,LIB,Liberal,,Suomen Keskusta,,Suomen Keskusta,
FIN-SFP,Finland,FIN,SFP,Parti populaire suédois de Finlande,Svenska folkpartiet,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,Svenska folkpartiet,,,
FIN-SDP,Finland,FIN,SDP,Parti social-démocrate de Finlande,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,,Suomen Sosialidemokraattinen Puolue,
FIN-PS,Finland,FIN,PS,Vrais finlandais,Perussuomalaiset,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Perussuomalaiset,,Perussuomalaiset,
FRA-AGIR,France,FRA,AGIR,Agir,Agir,,RE,Renew Europe,RE,Renew Europe,RE,,,,LIB,Liberal,,,,Agir - La Droite constructive,,,
FRA-AEI,France,FRA,AEI,Alliance Écologiste Indépendante,Alliance Écologiste Indépendante,Independent Ecological Alliance,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,,,,ECO,Ecologist,,,,Alliance Écologiste Indépendante,,,
FRA-DLF,France,FRA,DLF,Debout la France,Debout la France,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,Debout la France,,,
FRA-EC,France,FRA,EC,En commun,En commun,In Common,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,GAU,Left,,,,,
FRA-FP,France,FRA,FP,Fédération progressiste,Fédération progressiste,Fédération progressiste,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,GAU,Left,,,,,
FRA-GRS,France,FRA,GRS,Gauche républicaine et socialiste,Gauche républicaine et socialiste,Gauche républicaine et socialiste,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,,,,GAU,Left,,,,Gauche républicaine et socialiste,,,
FRA-GC,France,FRA,GC,Génération citoyens,Génération citoyens,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,Génération Citoyens,,,
FRA-GS,France,FRA,GS,Génération.s,Génération.s,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,"Génération.s, le mouvement",,,
FRA-HOR,France,FRA,HOR,Horizons,Horizons,Horizons,RE,Renew Europe,RE,Renew Europe,RE,,,,LIB,Liberal,DRO,Right,,Horizons,,Horizons,
FRA-IND,France,FRA,IND,Indépendants,Indépendants,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,NC,Unknown,,,,Indépendant,,,
FRA-AVEN,France,FRA,AVEN,L'Avenir français,L'Avenir français,French Future,NC,Groupe inconnu,ID,Identity and Democracy,IL,,,,EXD,Far right,,,,,,L’Avenir Français,
FRA-UPO,France,FRA,UPO,L’Union pour les outremer,L’Union pour les outremer,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,L'union pour les Outremer,,,
FRA-FI,France,FRA,FI,La France insoumise,La France insoumise,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,La France Insoumise,,La France Insoumise,
FRA-LREM,France,FRA,LREM,La République en marche / Modem,La République en marche / Modem,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,La République en marche,,,
FRA-CENTR,France,FRA,CENTR,Les Centristes,Les centristes,The Center,PPE,Parti populaire européen,PPE,European People's Party,EPP,,,,DRO,Right,CEN,Center,,Les centristes,,,
FRA-EELV,France,FRA,EELV,Les Écologistes,The Ecologists,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,GAU,Left,,Les Écologistes – Europe Écologie Les Verts,Europe Écologie,Europe Écologie - Les Verts,Les Écologistes
FRA-LFL,France,FRA,LFL,Les Français libres,Les Français libres,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,EXD,Far right,,,,Les Français Libres,,,
FRA-LP,France,FRA,LP,Les Patriotes,Les Patriotes,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,EXD,Far right,,,,Les Patriotes,,,
FRA-LR,France,FRA,LR,Les Républicains,Les Républicains,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Les Républicains,,Les Républicains,
FRA-LRC,France,FRA,LRC,Les Républicains calédoniens,Les Républicains calédoniens,Les Républicains calédoniens,,,,,,,,,DRO,Right,,,,,,,
FRA-LO,France,FRA,LO,Lutte ouvrière,Lutte ouvrière,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXG,Far left,,,,nc,,,
FRA-MODEM,France,FRA,MODEM,Modem,Modem,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,Mouvement Démocrate,,Mouvement Democrate,
FRA-MR,France,FRA,MR,Mouvement radical,Mouvement radical,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,Mouvement Radical,,,
FRA-MRSL,France,FRA,MRSL,Mouvement radical social-libéral,Mouvement radical social-libéral,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,Mouvement Radical Social-Libéral,,,
FRA-NPA,France,FRA,NPA,Nouveau parti anticapitaliste,Nouveau parti anticapitaliste,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXG,Far left,DSV,Right nationalist,,nc,,,
FRA-DONN,France,FRA,DONN,Nouvelle Donne,Nouvelle Donne,New Deal,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,GAU,Left,,,,Nouvelle Donne,,,
FRA-PCF,France,FRA,PCF,Parti communiste,Parti communiste,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Front de Gauche,,,
FRA-PR,France,FRA,PR,Parti radical,Parti radical,Radical party,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,GAU,Left,,Parti radical,,Parti Radical,
FRA-PS,France,FRA,PS,Parti socialiste,Parti socialiste,Parti socialiste,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Parti socialiste,,Parti Socialiste,
FRA-PUBLI,France,FRA,PUBLI,Place publique,Place publique,Place publique,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,GAU,Left,,,,Place publique,,Place Publique,
FRA-PRG,France,FRA,PRG,Radicaux de gauche,Radicaux de gauche,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Les radicaux de Gauche,,,
FRA-RBM,France,FRA,RBM,Rassemblement bleu marine,Rassemblement bleu marine,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,Rassemblement bleu Marine,,,
FRA-FN,France,FRA,FN,Front national,Front national,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,Rassemblement national,,,
FRA-RN,France,FRA,RN,Rassemblement national,Rassemblement national,,PPLE,Les Patriotes,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,Front national,,Rassemblement National,
FRA-RECON,France,FRA,RECON,Reconquête !,Reconquête !,Reconquête,NI,Non-inscrits,NI,Non-attached members,NI,NC,Unknown,NC,EXD,Far right,,,,Reconquête!,,Reconquête,
FRA-RPS,France,FRA,RPS,Régions et peuples solidaires,Regions and Peoples with Solidarity,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,,,,AUT,Others,,,,Régions et Peuples Solidaires,,,
FRA-REN,France,FRA,REN,Renaissance,Renaissance,Renew,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,Renaissance,Liste Renaissance,Renaissance,
FRA-SE,France,FRA,SE,Sans étiquette,Sans étiquette,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,NC,Unknown,,,,Sans étiquette,Sans parti,,
FRA-TDP,France,FRA,TDP,Territoire de progrès,Territoire de progrès,Territories of Progress,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,GAU,Left,,,,,
FRA-UDI,France,FRA,UDI,Union des démocrates et indépendants,Union des démocrates et indépendants,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,DRO,Right,,Union des Démocrates et Indépendants,,Union des démocrates et indépendants,
FRA-UPR,France,FRA,UPR,Union populaire républicaine,Union populaire républicaine,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,,,,nc,,,
DEU-GRUENE,Germany,DEU,GRUENE,Alliance 90 / Les Verts,Bündnis 90/Die Grünen,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,Bündnis 90/Die Grünen,,Bündnis 90/Die Grünen,
DEU-BD,Germany,DEU,BD,Alliance Allemagne,Bündnis Deutschland,Alliance Germany,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,DRO,Right,,,,Bündnis Deutschland,,,
DEU-BC,Germany,DEU,BC,Alliance C,Bündnis C,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,,,,Bündnis C,,,
DEU-BSW,Germany,DEU,BSW,"Alliance Sahra Wagenknecht – Pour la raison et la justice
",Bündnis Sahra Wagenknecht – Für Vernunft und Gerechtigkeit,Alliance Sahra Wagenknecht – Reason and Justice,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,,,,AUT,Others,,,,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,,Bündnis Sahra Wagenknecht – Für Vernunft und Gerechtigkeit,
DEU-AFD,Germany,DEU,AFD,Alternative pour l’Allemagne,Alternative für Deutschland,,NI,Non-inscrits,NI,Non-attached members,NI,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Alternative für Deutschland,,Alternative für Deutschland,
DEU-MISC,Germany,DEU,MISC,Autres partis,,Others parties,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
DEU-UNION,Germany,DEU,UNION,Chrétiens démocrates,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,nc,,,
DEU-LINKE,Germany,DEU,LINKE,Die Linke,Die Linke,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,DIE LINKE.,,Die Linke,
DEU-FW,Germany,DEU,FW,Electeurs libres,Freie Wähler,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,NC,Unknown,,,,Freie Wähler,,Freie Wähler,
DEU-IND,Germany,DEU,IND,Indépendants,Independent,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,NC,Unknown,,,,Independent,,,
DEU-PARTEI,Germany,DEU,PARTEI,Le PARTI,Die PARTEI,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,Die PARTEI,,Die PARTEI,
DEU-DBP,Germany,DEU,DBP,Le Parti bleu,Die blaue Partei,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,Die blaue Partei,,,
DEU-FAMI,Germany,DEU,FAMI,Parti allemand de la famille,Familien-Partei Deutschlands,Family Party of Germany,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,DRO,Right,,,,Familien-Partei Deutschlands,,Familien-Partei Deutschlands,
DEU-FAMILI,Germany,DEU,FAMILI,Parti de la famille,Familien Partie Deutschland,Family Party,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,,,,,,,
DEU-TIER,Germany,DEU,TIER,Parti de protection des animaux,Tierschutzpartei,Human Environment Animal Protection,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,AUT,Others,,,,Partei Mensch Umwelt Tierschutz,,Partei Mensch Umwelt Tierschutz,
DEU-BASIS,Germany,DEU,BASIS,Parti démocratique de la base,Basisdemokratische Partei Deutschland,Grassroots Democratic Party of Germany,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,,,Basisdemokratische Partei Deutschland,
DEU-PIRATEN,Germany,DEU,PIRATEN,Parti des pirates,Piratenpartei Deutschland,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,AUT,Others,,,,Piratenpartei Deutschland,,Piratenpartei Deutschland,
DEU-Z,Germany,DEU,Z,Parti du centre,Centre Party,Zentrum,NI,Non-inscrits,NI,Non-attached members,NI,,,,CEN,Center,DRO,Right,,Zentrum,,,
DEU-ODP,Germany,DEU,ODP,Parti écologiste-démocrate,Ökologisch-Demokratische Partei,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,DRO,Right,,Ökologisch-Demokratische Partei,,Ökologisch-Demokratische Partei,
DEU-FDP,Germany,DEU,FDP,Parti libéral démocrate,Freie Demokratische Partei,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,,,,Freie Demokratische Partei,,Freie Demokraten,
DEU-NPD,Germany,DEU,NPD,Parti national-démocrate d'Allemagne,Nationaldemokratische Partei Deutschlands,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,,,,Nationaldemokratische Partei Deutschlands,,,
DEU-LKR,Germany,DEU,LKR,Parti réformateur libéral-conservateur,Liberal-Konservative Reformer,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,LIB,Liberal,,Liberal-Konservative Reformer,,,
DEU-SPD,Germany,DEU,SPD,Parti social-démocrate,Sozialdemokratische Partei Deutschlands,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Sozialdemokratische Partei Deutschlands,,Sozialdemokratische Partei Deutschlands,
DEU-CDU,Germany,DEU,CDU,Union chrétienne-démocrate,Christlich Demokratische Union Deutschlands,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Christlich Demokratische Union Deutschlands,,Christlich Demokratische Union Deutschlands,
DEU-CSU,Germany,DEU,CSU,Union chrétienne-sociale,Christlich-Soziale Union in Bayern,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Christlich-Soziale Union in Bayern e.V.,,Christlich-Soziale Union in Bayern,
DEU-VOLT,Germany,DEU,VOLT,Volt,Volt,Volt,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NC,Unknown,NC,AUT,Others,,,,Volt,,Volt Deutschland,
GRC-PE,Greece,GRC,PE,[Parti inconnu],,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
GRC-PASOK-KINAL,Greece,GRC,PASOK-KINAL,Alliance PASOK-KINAL,,PASOK-KINAL Alliance,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,GAU,Left,,,,PASOK-KINAL,,ΠΑΣΟΚ – Κίνημα Αλλαγής (PASOK-KINAL),
GRC-KA,Greece,GRC,KA,Aube dorée,Popular Association – Golden Dawn,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,,,,Popular Association – Golden Dawn,,,
GRC-PE,Greece,GRC,PE,"Cap sur la liberté
",Plefsi Eleftherias,Course of Freedom,NC,Groupe inconnu,NC,Unknown,NC,,,,EXG,Far left,,,,Plefsi Eleftherias,,Πλεύση Ελευθερίας (PE),
GRC-KINAL,Greece,GRC,KINAL,Coalition de la gauche radicale,KINAL/ΚΙΝΑΛ,Coalition of the Radical Left,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,,,,
GRC-MERA25,Greece,GRC,MERA25,Front de réelle désobéissance européenne à l’horizon 2025,Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής,European Realistic Disobedience Front,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXG,Far left,,,,,,,
GRC-ANEL,Greece,GRC,ANEL,Grecs indépendants,,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,DRO,Others,,,,nc,,,
GRC-IND,Greece,GRC,IND,Indépendants,Independent,Independent,NC,Groupe inconnu,NC,Unknown,NC,,,,AUT,Others,,,,Independent,,,
GRC-POTAMI,Greece,GRC,POTAMI,La rivière,The River,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,CEN,Center,LIB,Liberal,,The River,,,
GRC-EL,Greece,GRC,EL,La Solution grecque,Ellinikí Lýsi,Greek Solution,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,EXD,#REF!,,,,,,Ελληνική Λύση (EL),
GRC-AR,Greece,GRC,AR,La Voie alternative,Greece-The Alternative Road,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,NC,Unknown,,,,Greece-The Alternative Road,,,
GRC-NIKH,Greece,GRC,NIKH,Mouvement démocrate patriote – Victoire,Dimokratikó Patriotikó Kínima “Níki”,Democratic Patriotic Movement “Victory”,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,Dimokratikó Patriotikó Kínima,,Δημοκρατικό Πατριωτικό Κίνημα - ΝΙΚΗ (Niki),
GRC-DISIKA,Greece,GRC,DISIKA,Mouvement des socialistes démocrates,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,GAU,Left,,,,nc,,,
GRC-GRXA,Greece,GRC,GRXA,Mouvement pour le changement,,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,nc,,,
