code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
BEL-PP,Belgium,BEL,PP,Parti populaire,Parti populaire,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,DSV,Right nationalist,French-speaking,Parti populaire,,,
BEL-PS,Belgium,BEL,PS,Parti socialiste francophone,Parti socialiste,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,French-speaking,Parti Socialiste,,Parti Socialiste,
BEL-VLAAMSBELANG,Belgium,BEL,VLAAMSBELANG,Vlaams Belang,Vlaams Belang,,PPLE,Les Patriotes,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,Dutch-speaking,Vlaams Belang,,Vlaams Belang,
BEL-SPA,Belgium,BEL,SPA,Vooruit,Vooruit,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,Dutch-speaking,Socialistische Partij.Anders,Vooruit,Vooruit,
BGR-ABV,Bulgary,BGR,ABV,Alternative pour la renaissance bulgare,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,GAU,Left,,,,nc,,,
BGR-MISC,Bulgary,BGR,MISC,Autres partis,,Others parties,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
BGR-RB,Bulgary,BGR,RB,Bloc réformateur,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,,
BGR-DB,Bulgary,BGR,DB,Bulgarie démocratique,Demokraticheska partia,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,CEN,Center,DRO,Right,,,,,
BGR-GERB,Bulgary,BGR,GERB,Citoyens pour le développement européen de la Bulgarie,Citizens for European Development of Bulgaria,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Citizens for European Development of Bulgaria,,Граждани за европейско развитие на България (GERB),
BGR-DSB,Bulgary,BGR,DSB,Démocrates pour une Bulgarie forte,Democrats for Strong Bulgaria,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Democrats for Strong Bulgaria,,,
